,datetime,um100,um025,pm10,pm25,pm1,um010
1689,2022-03-12 07:00:00-01:00,0.0,0.0161538461538461,4.2615384615384615,3.5,2.292307692307692,0.2215384615384615
1690,2022-03-12 08:00:00-01:00,0.0,0.0119047619047619,3.3904761904761904,2.8666666666666667,1.842857142857143,0.1819047619047619
1691,2022-03-12 09:00:00-01:00,0.0,0.0114285714285714,2.8857142857142857,2.4,1.5285714285714285,0.1471428571428571
1692,2022-03-12 10:00:00-01:00,0.0,0.0084210526315789,2.1631578947368424,1.7210526315789476,1.0105263157894735,0.1173684210526315
1693,2022-03-12 11:00:00-01:00,0.0,0.007,1.955,1.53,0.92,0.11
1694,2022-03-12 12:00:00-01:00,0.0,0.006875,1.8625,1.46875,0.81875,0.1025
1695,2022-03-12 13:00:00-01:00,0.0,0.0052631578947368,2.205263157894737,1.810526315789473,1.1631578947368422,0.1173684210526315
1696,2022-03-12 14:00:00-01:00,0.0,0.0053333333333333,2.953333333333333,2.533333333333333,1.72,0.152
1697,2022-03-12 15:00:00-01:00,0.0,0.008,3.0933333333333333,2.62,1.7866666666666666,0.152
1698,2022-03-12 16:00:00-01:00,0.0,0.0092307692307692,3.369230769230769,2.869230769230769,1.992307692307692,0.1653846153846153
1699,2022-03-12 17:00:00-01:00,0.0,0.0169230769230769,5.93076923076923,5.207692307692308,3.6769230769230767,0.2884615384615384
1700,2022-03-12 18:00:00-01:00,0.0,0.018,6.38,5.5,3.84,0.3219999999999999
1701,2022-03-12 19:00:00-01:00,0.0,0.0078947368421052,3.663157894736842,3.168421052631579,2.210526315789474,0.1852631578947368
1702,2022-03-12 20:00:00-01:00,0.0,0.009375,3.425,2.975,2.1,0.173125
1703,2022-03-12 21:00:00-01:00,0.0,0.0126666666666666,4.2,3.64,2.52,0.212
1704,2022-03-12 22:00:00-01:00,0.0,0.0105263157894736,3.273684210526316,2.805263157894737,1.8368421052631576,0.1789473684210526
1705,2022-03-12 23:00:00-01:00,0.0,0.0107142857142857,3.435714285714286,3.0142857142857147,1.9857142857142855,0.1892857142857142
1706,2022-03-13 00:00:00-01:00,0.0,0.0089473684210526,3.263157894736842,2.831578947368421,1.8421052631578947,0.1863157894736842
1707,2022-03-13 01:00:00-01:00,0.0,0.0128571428571428,4.285714285714286,3.5357142857142856,2.257142857142857,0.2371428571428571
1708,2022-03-13 02:00:00-01:00,0.0,0.0184615384615384,6.207692307692308,5.138461538461538,3.161538461538462,0.3223076923076923
1709,2022-03-13 03:00:00-01:00,0.0,0.0344999999999999,8.35,7.090000000000001,4.23,0.416
1710,2022-03-13 04:00:00-01:00,0.0,0.069090909090909,15.7,13.563636363636364,8.200000000000001,0.7772727272727273
1711,2022-03-13 05:00:00-01:00,0.004,0.1086666666666666,22.34,18.613333333333333,10.833333333333334,1.088
1712,2022-03-13 06:00:00-01:00,0.00375,0.141875,27.70625,23.18125,13.28125,1.3475
1713,2022-03-13 07:00:00-01:00,0.003125,0.12125,23.94375,19.9875,11.65625,1.179375
1714,2022-03-13 08:00:00-01:00,0.0005555555555555,0.0638888888888889,14.327777777777776,12.305555555555555,7.533333333333333,0.7394444444444445
1715,2022-03-13 09:00:00-01:00,0.0,0.0406666666666666,10.78,9.386666666666668,5.653333333333333,0.5633333333333332
1716,2022-03-13 10:00:00-01:00,0.0,0.0291666666666666,8.016666666666667,6.9,4.558333333333334,0.4191666666666667
1717,2022-03-13 11:00:00-01:00,0.0,0.017,5.26,4.5600000000000005,3.07,0.284
1718,2022-03-13 12:00:00-01:00,0.0,0.0105882352941176,4.1000000000000005,3.594117647058824,2.5,0.2052941176470588
1719,2022-03-13 13:00:00-01:00,0.0,0.008125,4.1125,3.6625,2.6,0.203125
1720,2022-03-13 14:00:00-01:00,0.0,0.0113333333333333,4.58,4.126666666666667,2.9266666666666667,0.228
1721,2022-03-13 15:00:00-01:00,0.0,0.0135294117647058,5.18235294117647,4.6000000000000005,3.223529411764705,0.2623529411764705
1722,2022-03-13 16:00:00-01:00,0.0,0.0064285714285714,3.414285714285714,3.007142857142857,2.042857142857143,0.1885714285714285
1723,2022-03-13 17:00:00-01:00,0.0,0.00875,3.425,3.0,2.025,0.1775
1724,2022-03-13 18:00:00-01:00,0.0,0.01,3.7384615384615385,3.3,2.315384615384616,0.1961538461538461
1725,2022-03-13 19:00:00-01:00,0.0,0.0123076923076923,3.507692307692308,3.0384615384615383,2.0538461538461537,0.1869230769230769
